零件名,工序,资源,开始(min),结束(min),时长(min)
AP2-FB-2P-8BP,自动打磨,自动打磨N51,122.21655513464536,126.02769418226441,3.8111390476190508
AP2-FB-2P-8BP,桁架码垛,自动分拣N51,126.02769418226441,127.19769418226441,1.1700000000000017
AP2-FB-3S-10BS,分拣,自动分拣N51,127.19769418226441,128.7776941822644,1.5799999999999983
AP2-FB-3S-10BS,自动打磨,自动打磨N51,128.7776941822644,131.1473345790898,2.369640396825389
AP2-FB-3S-10BS,桁架码垛,自动分拣N51,131.1473345790898,132.3173345790898,1.1699999999999875
AP2-FB-3S-3BS,分拣,自动分拣N51,132.3173345790898,133.8973345790898,1.5800000000000125
AP2-FB-3S-3BS,自动打磨,自动打磨N51,133.8973345790898,137.70847362670884,3.8111390476190365
AP2-FB-3S-3BS,桁架码垛,自动分拣N51,137.70847362670884,138.87847362670882,1.1699999999999875
AP2-FB-3S-6BS,分拣,自动分拣N51,138.87847362670882,140.45847362670884,1.5800000000000125
AP2-FB-3S-6BS,自动打磨,自动打磨N51,140.45847362670884,143.0537764838517,2.5953028571428547
AP2-FB-3S-6BS,桁架码垛,自动分拣N51,143.0537764838517,144.22377648385168,1.1699999999999875
AP2-G2-2-1P,自由边打磨,人工打磨N51,75.02388212678606,75.26554325499119,0.24166112820512353
AP2-G2-2-1S,自由边打磨,人工打磨N51,75.26554325499119,76.29635433191426,1.0308110769230723
A03S-1297切割后的大件,天车吊运（胎架到成品区）,天车,76.29635433191426,81.29635433191426,5.0
A03S-1305,天车空驶（胎架到原料区）,天车,51.97299689355172,59.97299689355172,8.0
A03S-1305,天车吊运（原料区到胎架）,天车,59.97299689355172,62.97299689355172,3.0
AP2-F8-2-1S,分拣,自动分拣N21,101.25553999561043,102.83553999561043,1.5799999999999983
AP2-F8-2-1S,自动打磨,自动打磨N21,102.83553999561043,105.7376751543406,2.902135158730161
AP2-F8-2-1S,桁架码垛,自动分拣N21,105.7376751543406,106.9076751543406,1.1700000000000017
TA10-CG-1-1P,自由边打磨,人工打磨N21,101.25553999561043,102.91025302125146,1.6547130256410298
TA10-CG-1-1S,自由边打磨,人工打磨N21,102.91025302125146,104.13932502125147,1.2290720000000022
AP2-G2-1B1-1P,分拣,自动分拣N21,106.9076751543406,108.4876751543406,1.5799999999999983
AP2-G2-1B1-1P,自动打磨,自动打磨N21,108.4876751543406,110.01099221783265,1.5233170634920583
AP2-G2-1B1-1P,桁架码垛,自动分拣N21,110.01099221783265,111.18099221783265,1.1700000000000017
AP2-G3-4B4-1P,分拣,自动分拣N21,111.18099221783265,112.76099221783265,1.5799999999999983
AP2-G3-4B4-1P,自动打磨,自动打磨N21,112.76099221783265,114.19904237656282,1.4380501587301637
AP2-G3-4B4-1P,桁架码垛,自动分拣N21,114.19904237656282,115.36904237656282,1.1700000000000017
AP2-G3-4B5-1P,分拣,自动分拣N21,115.36904237656282,116.94904237656282,1.5799999999999983
AP2-G3-4B5-1P,自动打磨,自动打磨N21,116.94904237656282,118.47235856703901,1.5233161904761943
AP2-G3-4B5-1P,桁架码垛,自动分拣N21,118.47235856703901,119.64235856703901,1.1700000000000017
AP2-G4-4B1-1P,分拣,自动分拣N21,119.64235856703901,121.22235856703901,1.5799999999999983
AP2-G4-4B1-1P,自动打磨,自动打磨N21,121.22235856703901,122.66040872576917,1.4380501587301637
AP2-G4-4B1-1P,桁架码垛,自动分拣N21,122.66040872576917,123.83040872576917,1.1700000000000017
AP2-AE-1B5-1P,分拣,自动分拣N21,123.83040872576917,125.41040872576917,1.5799999999999983
AP2-AE-1B5-1P,自动打磨,自动打磨N21,125.41040872576917,128.3125439638644,2.9021352380952408
AP2-AE-1B5-1P,桁架码垛,自动分拣N21,128.3125439638644,129.4825439638644,1.1699999999999875
AP2-AE-1B5-1S,分拣,自动分拣N21,129.4825439638644,131.0625439638644,1.5800000000000125
AP2-AE-1B5-1S,自动打磨,自动打磨N21,131.0625439638644,133.96467912259456,2.9021351587301467
AP2-AE-1B5-1S,桁架码垛,自动分拣N21,133.96467912259456,135.13467912259455,1.1699999999999875
TA10-F6-1SP-5SP,分拣,自动分拣N21,135.13467912259455,136.71467912259456,1.5800000000000125
TA10-F6-1SP-5SP,自动打磨,自动打磨N21,136.71467912259456,138.2519074559279,1.5372283333333314
TA10-F6-1SP-5SP,桁架码垛,自动分拣N21,138.2519074559279,139.42190745592788,1.1699999999999875
A03S-1305切割后的大件,天车吊运（胎架到成品区）,天车,104.13932502125147,109.13932502125147,5.0
A03S-1296,天车空驶（胎架到原料区）,天车,90.25553999561043,98.25553999561043,8.0
A03S-1296,天车吊运（原料区到胎架）,天车,98.25553999561043,101.25553999561043,3.0
AP2-F2-3S-4BS,分拣,自动分拣N21,143.20909014927437,144.7890901492744,1.5800000000000125
AP2-F2-3S-4BS,自动打磨,自动打磨N21,144.7890901492744,146.34470800641725,1.5556178571428632
AP2-F2-3S-4BS,桁架码垛,自动分拣N21,146.34470800641725,147.51470800641724,1.1699999999999875
AP2-FB-2P-6BP,分拣,自动分拣N21,147.51470800641724,149.09470800641725,1.5800000000000125
AP2-FB-2P-6BP,自动打磨,自动打磨N21,149.09470800641725,150.41006951435375,1.315361507936501
AP2-FB-2P-6BP,桁架码垛,自动分拣N21,150.41006951435375,151.58006951435374,1.1699999999999875
