方案,总完工时间(h),理论下界(min),理论下界(h),产能效率(LB/Cmax),产能缺口((Cmax-LB)/LB),加权平均齐套跨度(h),最大齐套跨度(h),切割负载差(h),切割前等待总时间(min),切割前等待总时间(h),齐套等待总时间(min),齐套等待总时间(h),总等待时间(min),总等待时间(h),平均钢板等待时间(h),等待占比,胎架累计空闲时间(min),胎架累计空闲时间(h),整体产能(张板/班),切割机综合稼动率,切割机纯切割稼动率,切割机班次稼动率,总切割工时(min),纯切割工时(min),切割机平均利用率,坡口缓存区峰值占用率,半框缓存区峰值占用率,齐套缓存区峰值占用率,坡口工作站峰值占用率,死锁警告数,死锁详情,AGV路径冲突次数,AGV冲突等待总时间(min),AGV死锁风险事件数,AGV死锁详情,AGV1运输时间(min),AGV2运输时间(min),天车工作时间(min),天车AGV冲突次数,N2利用率,N5利用率,N2码垛峰值占用率,N5码垛峰值占用率,AGV1利用率,AGV2利用率,人工坡口1利用率,人工打磨N21利用率,人工打磨N51利用率,天车利用率,自动分拣N21利用率,自动分拣N51利用率,自动坡口1利用率,自动打磨N21利用率,自动打磨N51利用率
FIFO基线,65.86454078801845,3057.4553,50.9576,0.7737,0.2925,15.071372049265518,29.613435221134274,0.27776126485114977,3151.7092,52.5285,239359.084,3989.3181,242510.7932,4041.8466,37.0812,61.366,804.715,13.4119,13.239293701393684,0.7736725650824756,0.7322997722656202,0.7077442808256329,6114.910586333468,5787.910586333466,0.7736725650824756,0.3333333333333333,0.8571428571428571,0.5625,1.2857142857142858,0,[],3,5.97,0,[],126.5,126.5,1491.0,0,0.7715639854011482,0.775781144763803,0.0,0.05555555555555555,0.07249727915614088,0.07653757697157909,0.23867096334268573,0.030369058876940965,0.01949933637328359,0.3772895051371939,0.2057694196480115,0.2755655741746508,0.10732907343224503,0.14469137125265788,0.19541939374809178
DQN+NSGA-II综合交付解,60.0940494769141,3057.4553,50.9576,0.848,0.1793,11.79297466101312,25.849926111662953,0.3753127303032064,2824.0639,47.0677,155862.3619,2597.706,158686.4258,2644.7738,24.264,44.0106,1022.2192,17.037,14.510588112970986,0.8479639608747214,0.8026183730216871,0.7962123159288369,6114.910586333467,5787.910586333468,0.8479639608747214,0.3333333333333333,0.7142857142857143,0.5625,1.5714285714285714,0,[],1,1.54,0,[],121.0,121.0,1486.0,0,0.8448412496115422,0.8510866721379005,0.0,0.0,0.07932011086218849,0.07281422905672502,0.2615891845670843,0.025204063576571272,0.029452911308325905,0.4121317648294128,0.2331721158523306,0.2951623356121821,0.1176352766430562,0.1595852639349486,0.21457112730320743
DQN+NSGA-II产能优先备选解,58.6923898696403,3057.4553,50.9576,0.8682,0.1518,14.518826470649298,34.07156247626956,0.4380720128786455,2767.3506,46.1225,206601.2089,3443.3535,209368.5595,3489.476,32.0135,59.4536,937.711,15.6285,14.857122055121115,0.868214573177643,0.8217860667553895,0.796212315928837,6114.910586333468,5787.910586333468,0.868214573177643,0.3333333333333333,0.7142857142857143,0.5625,1.4285714285714286,0,[],0,0.0,0,[],121.0,118.25,1486.0,0,0.8719465051525687,0.8644826412027171,0.0,0.0,0.0756382166248344,0.07766174825040657,0.2632537064062363,0.024683362576729023,0.03032140087789987,0.4147542062896825,0.23465581663973106,0.2970404872434688,0.11838380333520987,0.16060072318440527,0.215936467877355
