方案,总完工时间(h),理论下界(min),理论下界(h),产能效率(LB/Cmax),产能缺口((Cmax-LB)/LB),加权平均齐套跨度(h),最大齐套跨度(h),切割负载差(h),切割前等待总时间(min),切割前等待总时间(h),齐套等待总时间(min),齐套等待总时间(h),总等待时间(min),总等待时间(h),平均钢板等待时间(h),等待占比,胎架累计空闲时间(min),胎架累计空闲时间(h),整体产能(张板/班),切割机综合稼动率,切割机纯切割稼动率,切割机班次稼动率,总切割工时(min),纯切割工时(min),切割机平均利用率,坡口缓存区峰值占用率,半框缓存区峰值占用率,齐套缓存区峰值占用率,坡口工作站峰值占用率,死锁警告数,死锁详情,AGV路径冲突次数,AGV冲突等待总时间(min),AGV死锁风险事件数,AGV死锁详情,AGV1运输时间(min),AGV2运输时间(min),天车工作时间(min),天车AGV冲突次数,N2利用率,N5利用率,N2码垛峰值占用率,N5码垛峰值占用率,AGV1利用率,AGV2利用率,人工坡口1利用率,人工打磨N21利用率,人工打磨N51利用率,天车利用率,自动分拣N21利用率,自动分拣N51利用率,自动坡口1利用率,自动打磨N21利用率,自动打磨N51利用率,总完工时间(h)改善率,加权平均齐套跨度(h)改善率,最大齐套跨度(h)改善率,切割负载差(h)改善率,整体产能(张板/班)改善率
基础方案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动态响应-sa_tabu,55.99803338463417,3177.4553,52.9576,0.9457,0.0574,11.708039545489468,20.95037735596083,2.127931801986286,0.0,0.0,166712.5854,2778.5431,166712.5854,2778.5431,25.4912,49.6186,3293.1924,54.8865,15.57197543010995,0.9457044295769338,0.8970420063578401,0.9456712182043848,6354.910586333466,6027.910586333466,0.9457044295769338,0.3333333333333333,0.8571428571428571,0.5625,1.5714285714285714,0.0,[],0.0,0.0,0.0,[],115.5,115.5,1491.0,0.0,0.9647044879126447,0.9267043712412226,0.0,0.05555555555555555,0.07902063219981253,0.07902063219981253,0.28072331204962514,0.02961969943758441,0.02903519885912482,0.44376558421815626,0.301955485064822,0.26764332770501476,0.12623979285597747,0.20956668367624606,0.194041050163167,,,,,
