方案,总完工时间(h),理论下界(min),理论下界(h),产能效率(LB/Cmax),产能缺口((Cmax-LB)/LB),加权平均齐套跨度(h),最大齐套跨度(h),切割负载差(h),切割前等待总时间(min),切割前等待总时间(h),齐套等待总时间(min),齐套等待总时间(h),总等待时间(min),总等待时间(h),平均钢板等待时间(h),等待占比,胎架累计空闲时间(min),胎架累计空闲时间(h),整体产能(张板/班),切割机综合稼动率,切割机纯切割稼动率,切割机班次稼动率,总切割工时(min),纯切割工时(min),切割机平均利用率,坡口缓存区峰值占用率,半框缓存区峰值占用率,齐套缓存区峰值占用率,坡口工作站峰值占用率,死锁警告数,死锁详情,AGV路径冲突次数,AGV冲突等待总时间(min),AGV死锁风险事件数,AGV死锁详情,AGV1运输时间(min),AGV2运输时间(min),天车工作时间(min),天车AGV冲突次数,N2利用率,N5利用率,N2码垛峰值占用率,N5码垛峰值占用率,AGV1利用率,AGV2利用率,人工坡口1利用率,人工打磨N21利用率,人工打磨N51利用率,天车利用率,自动分拣N21利用率,自动分拣N51利用率,自动坡口1利用率,自动打磨N21利用率,自动打磨N51利用率,总完工时间(h)改善率,加权平均齐套跨度(h)改善率,最大齐套跨度(h)改善率,切割负载差(h)改善率,整体产能(张板/班)改善率
基础方案,60.0940494769141,3057.4553,50.9576,0.848,0.1793,11.79297466101312,25.849926111662953,0.3753127303032064,2824.0639,47.0677,155862.3619,2597.706,158686.4258,2644.7738,24.264,44.0106,1022.2192,17.037,14.510588112970986,0.8479639608747214,0.8026183730216871,0.7962123159288369,6114.910586333467,5787.910586333468,0.8479639608747214,0.3333333333333333,0.7142857142857143,0.5625,1.5714285714285714,0,[],1,1.54,0,[],121.0,121.0,1486.0,0,0.8448412496115422,0.8510866721379005,0.0,0.0,0.07932011086218849,0.07281422905672502,0.2615891845670843,0.025204063576571272,0.029452911308325905,0.4121317648294128,0.2331721158523306,0.2951623356121821,0.1176352766430562,0.1595852639349486,0.21457112730320743,,,,,
动态响应-sa_tabu,54.90711948967202,3114.4786,51.908,0.9454,0.0578,11.11503555926632,20.95059516158021,2.287150192998236,0.0,0.0,156902.0008,2615.0333,156902.0008,2615.0333,24.2133,47.6265,3071.4575,51.191,15.735664300556099,0.9453778968306437,0.8962039458914058,0.9269281632888389,6228.957257300997,5904.957257300997,0.9453778968306437,0.3333333333333333,0.7857142857142857,0.5625,1.5714285714285714,0,[],1,2.75,0,[],123.75,123.75,1475.0,0,0.966205343382711,0.9245504502785763,0.0,0.05555555555555555,0.08613029987042425,0.0854473283296015,0.28630082120692735,0.026877080989714933,0.03229021854566071,0.4477257878726899,0.31707843163413685,0.24624918332997947,0.1254813139259963,0.22460028292705528,0.1757937603057307,0.08631353740331156,0.057486691969925806,0.18952978545931956,-5.093985117825609,0.08442636356620309
