方案,总完工时间(h),理论下界(min),理论下界(h),产能效率(LB/Cmax),产能缺口((Cmax-LB)/LB),加权平均齐套跨度(h),最大齐套跨度(h),切割负载差(h),切割前等待总时间(min),切割前等待总时间(h),齐套等待总时间(min),齐套等待总时间(h),总等待时间(min),总等待时间(h),平均钢板等待时间(h),等待占比,胎架累计空闲时间(min),胎架累计空闲时间(h),整体产能(张板/班),切割机综合稼动率,切割机纯切割稼动率,切割机班次稼动率,总切割工时(min),纯切割工时(min),切割机平均利用率,坡口缓存区峰值占用率,半框缓存区峰值占用率,齐套缓存区峰值占用率,坡口工作站峰值占用率,死锁警告数,死锁详情,AGV路径冲突次数,AGV冲突等待总时间(min),AGV死锁风险事件数,AGV死锁详情,AGV1运输时间(min),AGV2运输时间(min),天车工作时间(min),天车AGV冲突次数,N2利用率,N5利用率,N2码垛峰值占用率,N5码垛峰值占用率,AGV1利用率,AGV2利用率,人工坡口1利用率,人工打磨N21利用率,人工打磨N51利用率,天车利用率,自动分拣N21利用率,自动分拣N51利用率,自动坡口1利用率,自动打磨N21利用率,自动打磨N51利用率,总完工时间(h)改善率,加权平均齐套跨度(h)改善率,最大齐套跨度(h)改善率,切割负载差(h)改善率,整体产能(张板/班)改善率
基础方案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动态响应-sa_tabu,54.90711948967202,3114.4786,51.908,0.9454,0.0578,11.11503555926632,20.95059516158021,2.287150192998236,0.0,0.0,156902.0008,2615.0333,156902.0008,2615.0333,24.2133,47.6265,3071.4575,51.191,15.735664300556099,0.9453778968306437,0.8962039458914058,0.9269281632888389,6228.957257300997,5904.957257300997,0.9453778968306437,0.3333333333333333,0.7857142857142857,0.5625,1.5714285714285714,0.0,[],1.0,2.75,0.0,[],123.75,123.75,1475.0,0.0,0.966205343382711,0.9245504502785763,0.0,0.05555555555555555,0.08613029987042425,0.0854473283296015,0.28630082120692735,0.026877080989714933,0.03229021854566071,0.4477257878726899,0.31707843163413685,0.24624918332997947,0.1254813139259963,0.22460028292705528,0.1757937603057307,,,,,
