序号,F1_Cmax相对LB,F2_齐套相对FIFO,F3_负载差相对FIFO,F4_等待相对FIFO,总完工时间(h),加权平均齐套跨度(h),切割负载差(h),总等待时间(h),整体产能(张板/班),切割机综合稼动率
33,1.1517887394547683,0.9633380705611904,1.5771530026456535,0.8633370697443095,58.6923898696403,14.518826470649298,0.4380720128786455,3489.476,14.857122055121115,0.868214573177643
13,1.1553792460533436,0.7512895940625972,6.028230461885954,0.6806422589120527,58.87535346868786,11.322964988859065,1.6744089179076733,2751.0516,14.810951418979803,0.8655164719570937
31,1.158470334555065,0.8999608787770611,1.5771530026456535,0.8957108862073093,59.03286792012319,13.563645233833032,0.4380720128786455,3620.326,14.771432097452811,0.8632070576072265
15,1.1585045479493072,0.9364400030476004,1.5771530026456535,0.8587407795238938,59.034611352581614,14.113435687745723,0.4380720128786455,3470.8985,14.770995861936287,0.863181565050096
4,1.161877069995087,0.7975045439870055,1.5771530026456535,0.7401179698408148,59.20646698198165,12.019487693407997,0.4380720128786455,2991.4433,14.72812083628257,0.8606760514008297
9,1.1661466839412247,0.7316515785976223,12.133206865135278,0.6733568512966327,59.424036261603355,11.026993151477198,3.3701348855606286,2721.6051,14.674196753670197,0.8575248573677187
26,1.1665421386286305,1.0587994918325996,1.5771530026456535,0.699988985232641,59.4441876833823,15.957561066982375,0.4380720128786455,2829.2481,14.669222239935978,0.8572341587181084
8,1.1665421386286305,1.0463704439756796,1.5771530026456535,0.7012040486642912,59.4441876833823,15.770238262512608,0.4380720128786455,2834.1592,14.669222239935978,0.8572341587181084
30,1.16917111390283,0.7157939810066288,3.2274822454132504,0.7096004088824153,59.57815395381485,10.787997398375799,0.8964695507706134,2868.096,14.636237314032536,0.8553065987735711
16,1.171691198782479,0.7884782407172324,1.5771530026456535,0.7560539779020807,59.706571431078046,11.883448918599745,0.4380720128786455,3055.8542,14.604757551797936,0.8534669969832077
11,1.172718324115937,0.7288825118093658,4.578244221876213,0.6832007182063763,59.758911272970266,10.98525951568212,1.271658905865805,2761.3925,14.591965975029686,0.8527194879217009
7,1.177039595053516,0.7596895455402328,1.5771530026456535,0.7360167503635591,59.979112868899044,11.44956378277429,0.4380720128786455,2974.8668,14.538394422505004,0.8495888949012548
32,1.1791747381342916,1.0679256883752022,1.0406992927293939,0.7617297004789841,60.087914635951975,16.09510537047066,0.28906595187821343,3078.7946,14.512069611386753,0.8480505360882746
25,1.1792951292233955,0.7824751868950004,1.3512061536166093,0.6543478913821222,60.0940494769141,11.79297466101312,0.3753127303032064,2644.7738,14.510588112970986,0.8479639608747214
18,1.1797013710634703,0.7208428330070712,1.5771530026456535,0.7271523367561747,60.114750586103895,10.864090525296143,0.4380720128786455,2939.0382,14.505591248374426,0.8476719560943318
36,1.1816987399244754,0.7339416562204266,6.028230461885954,0.6648229054511866,60.21653170957545,11.06150776335218,1.6744089179076733,2687.1122,14.48107314127056,0.846239176729975
5,1.1835822868346575,0.7210718668787156,3.2274822454132504,0.7086767469106819,60.31251273960574,10.867542379987581,0.8964695507706134,2864.3627,14.458028034162457,0.8448924759518927
35,1.186523731561461,0.7457672724902402,1.5771530026456535,0.6405151051502054,60.462401703416305,11.239736025866387,0.4380720128786455,2588.8638,14.422185944206868,0.8427979501940015
23,1.1906458557061994,0.800809174886796,1.5771530026456535,0.6235071365647573,60.672455256734224,12.06929301518424,0.4380720128786455,2520.1202,14.372255025944645,0.8398801071065873
20,1.1933237744971554,0.6810225592776905,17.963475995267565,0.7468979154231138,60.80891557131624,10.263944364817053,4.989557813568785,3018.8468,14.340002478375476,0.8379953455950532
2,1.1949764102336962,0.7329488554379042,1.5771530026456535,0.7184693006409496,60.893129922124594,11.046544893387983,0.4380720128786455,2903.9427,14.320170454617609,0.8368364097003149
34,1.1951736094582828,0.7280859588278448,6.028230461885954,0.6923525746870255,60.90317872133139,10.973254369340664,1.6744089179076733,2798.3829,14.317807679463227,0.8366983347881909
28,1.1960604095812382,0.6741211226258661,17.963475995267565,0.7247360402049895,60.9483679272769,10.159930245362972,4.989557813568785,2929.2719,14.307191966821218,0.8360779780066917
6,1.202441236595047,0.7111917095417971,3.2274822454132504,0.7200878677582667,61.27351955791576,10.718634852857601,0.8964695507706134,2910.4847,14.23126998891887,0.8316412797420657
3,1.203079168180069,0.7030570841142011,3.227482245413278,0.7104379221121356,61.30602702045268,10.596034886556886,0.8964695507706211,2871.4811,14.223723871538548,0.8312003027442194
29,1.2042997429151303,0.7695183298484262,1.3512061536166093,0.6876876277293651,61.36822457957204,11.597697047875053,0.3753127303032064,2779.5279,14.209307927253725,0.8303578695416272
10,1.2060129150757075,0.7283346997263858,4.578244221876213,0.6585851130520392,61.455523721261876,10.977003235966444,1.271658905865805,2661.9,14.189123242282493,0.8291783249715546
17,1.2095323075328035,0.7980090327423744,1.5771530026456535,0.6176096836530115,61.63486351433358,12.027091031134834,0.4380720128786455,2496.2836,14.14783695914587,0.8267656536238627
21,1.210781201096539,0.7220800339354868,2.890892590873191,0.5979219250923576,61.698504132996995,10.882736840787993,0.802977982589755,2416.7087,14.13324378367944,0.8259128634561647
24,1.2108288188500775,0.6695391654987066,15.335839807619069,0.699685609048102,61.700930619434715,10.090873864785767,4.259702262518886,2828.0219,14.132687971570647,0.8258803831298261
22,1.2108743554709702,0.8093585334587384,1.3512061536166093,0.6280518167116981,61.70325105634751,12.198143579004562,0.3753127303032064,2538.4891,14.132156492105873,0.8258493247448341
1,1.2190927021268456,0.7094923969731193,1.5771530026456535,0.7349610695269831,62.12203827789895,10.693023880907065,0.4380720128786455,2970.5999,14.036886492667287,0.8202819745142628
19,1.2194187680626796,0.6710692945480549,15.746518360488498,0.6179727107901621,62.1386538154308,10.113935008971882,4.373772856811138,2497.7509,14.033133105684653,0.8200626355827383
27,1.2197265662385157,0.6904914340621356,4.578244221876213,0.678778877951479,62.15433847175579,10.406653299581336,1.271658905865805,2743.5201,14.029591842510795,0.8198556926577497
12,1.2213213638073053,0.667591066470923,17.963475995267565,0.6917572279957384,62.235605528347136,10.061513339549228,4.989557813568785,2795.9766,14.011272045916233,0.8187851276908579
14,1.2276873731524858,0.7129012784000338,1.5771530026456535,0.7324480844968237,62.56000208615511,10.744400401163926,0.4380720128786455,2960.4428,13.938618461027492,0.814539426473625
