零件名,工序,资源,开始(min),结束(min),时长(min)
A03S-1304,天车空驶（胎架到原料区）,天车,0.0,3.0,3.0
A03S-1304,天车吊运（原料区到胎架）,天车,3.0,6.0,3.0
AP2-FC-1-1P,自由边打磨,人工打磨N21,28.298601144113015,29.95331416975404,1.6547130256410263
A03S-1274,天车空驶（胎架到原料区）,天车,6.0,9.0,3.0
A03S-1274,天车吊运（原料区到胎架）,天车,9.0,12.0,3.0
AP2-FC-1-1S,自由边打磨,人工打磨N21,29.95331416975404,31.608027144113017,1.6547129743589757
A03S-1304切割后的大件,天车吊运（胎架到成品区）,天车,31.608027144113017,36.60802714411302,5.0
AP2-818-1S,分拣,自动分拣N51,37.93377497591521,39.51377497591521,1.5799999999999983
AP2-818-1S,自动打磨,自动打磨N51,39.51377497591521,41.46631624575648,1.9525412698412694
AP2-818-1S,桁架码垛,自动分拣N51,41.46631624575648,42.63631624575648,1.1700000000000017
AP2-821-1P,分拣,自动分拣N51,42.63631624575648,44.21631624575648,1.5799999999999983
AP2-821-1P,自动打磨,自动打磨N51,44.21631624575648,46.012214340994575,1.795898095238094
AP2-821-1P,桁架码垛,自动分拣N51,46.012214340994575,47.18221434099458,1.1700000000000017
AP2-821-1S,分拣,自动分拣N51,47.18221434099458,48.762214340994575,1.5799999999999983
AP2-821-1S,自动打磨,自动打磨N51,48.762214340994575,50.55811370607394,1.7958993650793644
AP2-821-1S,桁架码垛,自动分拣N51,50.55811370607394,51.72811370607394,1.1700000000000017
AP2-823-1P,分拣,自动分拣N51,51.72811370607394,53.30811370607394,1.5799999999999983
AP2-823-1P,自动打磨,自动打磨N51,53.30811370607394,55.119823071153306,1.8117093650793663
AP2-823-1P,桁架码垛,自动分拣N51,55.119823071153306,56.28982307115331,1.1700000000000017
AP2-823-1S,分拣,自动分拣N51,56.28982307115331,57.869823071153306,1.5799999999999983
AP2-823-1S,自动打磨,自动打磨N51,57.869823071153306,59.68153243623267,1.8117093650793663
AP2-823-1S,桁架码垛,自动分拣N51,59.68153243623267,60.851532436232674,1.1700000000000017
AP2-826-1P,分拣,自动分拣N51,60.851532436232674,62.43153243623267,1.5799999999999983
AP2-826-1P,自动打磨,自动打磨N51,62.43153243623267,64.18193719813743,1.7504047619047611
AP2-826-1P,桁架码垛,自动分拣N51,64.18193719813743,65.35193719813743,1.1700000000000017
AP2-826-1S,分拣,自动分拣N51,65.35193719813743,66.93193719813743,1.5799999999999983
AP2-826-1S,自动打磨,自动打磨N51,66.93193719813743,68.6823419600422,1.7504047619047611
AP2-826-1S,桁架码垛,自动分拣N51,68.6823419600422,69.8523419600422,1.1700000000000017
AP2-829-1S,分拣,自动分拣N51,69.8523419600422,71.4323419600422,1.5799999999999983
AP2-829-1S,自动打磨,自动打磨N51,71.4323419600422,73.38488338861362,1.952541428571422
AP2-829-1S,桁架码垛,自动分拣N51,73.38488338861362,74.55488338861362,1.1700000000000017
AP2-831-1P,分拣,自动分拣N51,74.55488338861362,76.13488338861362,1.5799999999999983
AP2-831-1P,自动打磨,自动打磨N51,76.13488338861362,77.82140029337552,1.686516904761902
AP2-831-1P,桁架码垛,自动分拣N51,77.82140029337552,78.99140029337552,1.1700000000000017
AP2-831-1S,分拣,自动分拣N51,78.99140029337552,80.57140029337552,1.5799999999999983
AP2-831-1S,自动打磨,自动打磨N51,80.57140029337552,82.25800830924854,1.68660801587302
AP2-831-1S,桁架码垛,自动分拣N51,82.25800830924854,83.42800830924854,1.1700000000000017
AP2-832-1P,分拣,自动分拣N51,83.42800830924854,85.00800830924854,1.5799999999999983
AP2-832-1P,自动打磨,自动打磨N51,85.00800830924854,86.71689434099457,1.708886031746033
AP2-832-1P,桁架码垛,自动分拣N51,86.71689434099457,87.88689434099457,1.1700000000000017
AP2-832-1S,分拣,自动分拣N51,87.88689434099457,89.46689434099457,1.5799999999999983
AP2-832-1S,自动打磨,自动打磨N51,89.46689434099457,91.17587188067711,1.708977539682536
AP2-832-1S,桁架码垛,自动分拣N51,91.17587188067711,92.34587188067711,1.1700000000000017
AP2-830-1P,分拣,自动分拣N51,92.34587188067711,93.92587188067711,1.5799999999999983
AP2-830-1P,自动打磨,自动打磨N51,93.92587188067711,95.6082068806771,1.6823349999999948
AP2-830-1P,桁架码垛,自动分拣N51,95.6082068806771,96.7782068806771,1.1700000000000017
AP2-830-1S,分拣,自动分拣N51,96.7782068806771,98.3582068806771,1.5799999999999983
AP2-830-1S,自动打磨,自动打磨N51,98.3582068806771,100.0405418806771,1.6823349999999948
AP2-830-1S,桁架码垛,自动分拣N51,100.0405418806771,101.2105418806771,1.1700000000000017
AP2-833-1P,分拣,自动分拣N51,101.2105418806771,102.7905418806771,1.5799999999999983
AP2-833-1P,自动打磨,自动打磨N51,102.7905418806771,105.39507180131201,2.604529920634917
AP2-833-1P,桁架码垛,自动分拣N51,105.39507180131201,106.56507180131202,1.1700000000000017
AP2-833-1S,分拣,自动分拣N51,106.56507180131202,108.14507180131201,1.5799999999999983
AP2-833-1S,自动打磨,自动打磨N51,108.14507180131201,110.22291545210567,2.0778436507936533
AP2-833-1S,桁架码垛,自动分拣N51,110.22291545210567,111.39291545210567,1.1700000000000017
A03S-1287,天车空驶（胎架到原料区）,天车,12.0,20.0,8.0
A03S-1287,天车吊运（原料区到胎架）,天车,20.0,23.0,3.0
AP2-F2-3S-5BS,分拣,自动分拣N21,62.97299689355172,64.55299689355172,1.5799999999999983
AP2-F2-3S-5BS,自动打磨,自动打磨N21,64.55299689355172,66.2297927665676,1.6767958730158767
AP2-F2-3S-5BS,桁架至坡口工作站,自动分拣N21,66.2297927665676,67.3964927665676,1.1667000000000058
AP2-F5-1P-1P,自由边打磨,人工打磨N21,62.97299689355172,63.267598021756854,0.2946011282051302
A03S-1297,天车空驶（胎架到原料区）,天车,23.0,26.0,3.0
A03S-1297,天车吊运（原料区到胎架）,天车,26.0,29.0,3.0
AP2-F5-2S-1S,自由边打磨,人工打磨N21,63.267598021756854,63.59598304739788,0.3283850256410261
AP2-F6-2P-7BP,分拣,自动分拣N21,67.3964927665676,68.9764927665676,1.5799999999999983
AP2-F6-2P-7BP,自动打磨,自动打磨N21,68.9764927665676,70.64846744910729,1.671974682539684
AP2-F6-2P-7BP,桁架码垛,自动分拣N21,70.64846744910729,71.81846744910729,1.1700000000000017
TA10-F9-1SP-3SP,分拣,自动分拣N21,71.81846744910729,73.39846744910729,1.5799999999999983
TA10-F9-1SP-3SP,自动打磨,自动打磨N21,73.39846744910729,75.07044205228189,1.6719746031746041
TA10-F9-1SP-3SP,桁架码垛,自动分拣N21,75.07044205228189,76.24044205228189,1.1700000000000017
A03S-1287切割后的大件,天车吊运（胎架到成品区）,天车,63.59598304739788,68.59598304739788,5.0
AP2-F6-3S-4BS,分拣,自动分拣N51,111.39291545210567,112.97291545210567,1.5799999999999983
AP2-F6-3S-4BS,自动打磨,自动打磨N51,112.97291545210567,115.34255576956599,2.3696403174603233
AP2-F6-3S-4BS,桁架码垛,自动分拣N51,115.34255576956599,116.51255576956599,1.1700000000000017
AP2-FB-2P-7BP,分拣,自动分拣N51,116.51255576956599,118.09255576956599,1.5799999999999983
AP2-FB-2P-7BP,自动打磨,自动打磨N51,118.09255576956599,119.46655513464536,1.3739993650793707
AP2-FB-2P-7BP,桁架码垛,自动分拣N51,119.46655513464536,120.63655513464536,1.1700000000000017
AP2-FB-2P-8BP,分拣,自动分拣N51,120.63655513464536,122.21655513464536,1.5799999999999983
AP2-FB-2P-8BP,自动打磨,自动打磨N51,122.21655513464536,126.02769418226441,3.8111390476190508
