零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
N1-F25-5-1P,E01S-1208,BN1,1,small,1376.3697630037002,1332.3518867338596,2708.936668409153
N1-F25-5-1S,E01S-1208,BN1,1,small,1376.3697630037002,1338.5119219719547,2708.936668409153
N1-F26-5-1P,E01S-1208,BN1,1,small,1376.3697630037002,1342.8814527656054,2708.936668409153
N1-F26-5-1S,E01S-1208,BN1,1,small,1376.3697630037002,1348.9314170513196,2708.936668409153
N1-F27-2-1P,E01S-1208,BN1,1,small,1376.3697630037002,1353.0831176862403,2708.936668409153
N1-F27-2-1S,E01S-1208,BN1,1,small,1376.3697630037002,1357.649758559256,2708.936668409153
N1-F28-3-1P,E01S-1208,BN1,1,small,1376.3697630037002,1361.8929567338591,2708.936668409153
N1-F28-3-1S,E01S-1208,BN1,1,small,1376.3697630037002,1366.2567062576686,2708.936668409153
N1-F29-3-1P,E01S-1208,BN1,1,small,1376.3697630037002,1370.8219179243351,2708.936668409153
N1-F29-3-1S,E01S-1208,BN1,1,small,1376.3697630037002,1376.3697630037002,2708.936668409153
N1-LG1-2-1P,E01S-1205,BN1,1,large,1458.666908268432,1596.7565402684318,1596.7565402684318
N1-LG1-2-1S,E01S-1205,BN1,1,large,1458.666908268432,1596.7565402684318,1596.7565402684318
N1-F18-3-1P,E01S-1240,BN1,1,small,1208.3499833723797,1481.9316861934678,2708.936668409153
N1-F18-3-1S,E01S-1240,BN1,1,small,1208.3499833723797,1481.9316861934678,2708.936668409153
N1-F32-2-1P,E01S-1240,BN1,4,small,1208.3499833723797,2323.3422763044305,2723.061668409153
N1-F31-7S-1S,E01S-1240,BN1,5,small,1208.3499833723797,2329.7172763044305,2729.436668409153
N1-F32-2-1S,E01S-1240,BN1,5,small,1208.3499833723797,2329.7172763044305,2729.436668409153
N1-F31-3-1P,E01S-1240,BN1,6,small,1208.3499833723797,2660.3418117424862,2735.811668409153
N1-F32-5-1P,E01S-1240,BN1,6,small,1208.3499833723797,2660.3418117424862,2735.811668409153
N1-F31-3-1S,E01S-1240,BN1,7,small,1208.3499833723797,2706.186668409153,2742.186668409153
N1-F32-5-1S,E01S-1240,BN1,7,small,1208.3499833723797,2706.186668409153,2742.186668409153
N1-ST-1-1P,E01S-1240,BN1,8,small,1208.3499833723797,2065.988708005938,2748.561668409153
N1-ST-1-1S,E01S-1240,BN1,8,small,1208.3499833723797,2065.988708005938,2748.561668409153
